pursue after,pursue
overused cliche,cliche
final outcome,outcome
sudden impulse,impulse
cash money,cash
kneel down,kneel
grow in size,grow
still remains,remains
past memories,memories
look ahead to the future,look  to the future
best ever,best
might possibly,might
exact same,same
previously listed above,previously listed
new beginning,beginning
filled to capacity,filled
look back in retrospect,look back
mutual cooperation,cooperation
fall down,fall
constantly maintained,maintained
manually by hand,manually
new construction,construction
few in number,few
proceed ahead,proceed
annual anniversary,anniversary
soft in texture [or to the touch],soft  [or ]
completely destroyed,destroyed
sole of the foot,sole
enclosed herein,enclosed
during the course of,during
commute back and forth,commute
outside of,outside
join together,join
dwindle down,dwindle
small speck,speck
A.M. in the morning,A.M.
penetrate into,penetrate
shut down,shut
mix together,mix
open trench,trench
native habitat,habitat
re-elect for another term,re-elect
fellow classmates,classmates
bouquet of flowers,bouquet
completely surround,surround
small size,small
plunge down,plunge
